,Business Name,Source,Street Address,City,State,Zip,Title.1,Document URL,Key Nature,Docket Num,Court Juris,Filed Date
76,King Of Trades Construction Inc,,,,,,"Malhi, Jarnail S v. King Of Trades Construction Inc",https://www.westlaw.com/Document/I768E0249DD0E11EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D146%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=146&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",CV-20-003443,CA Stanislaus Super. Ct.,2020-08-12
77,"Nissan North America, Inc.",https://businesssearch.sos.ca.gov/,"1 NISSAN WAY, M.S. A-5-C",FRANKLIN,TN,37067,"Marco Hernandez Et Al v. Nissan North America, Inc.",https://www.westlaw.com/Document/IA034DF23DD2111EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D148%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=148&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",BCV-20-101878,CA Kern Super Ct.,2020-08-12
78,ALANIC INTERNATIONAL CORPORATION,https://businesssearch.sos.ca.gov/,"8730 WILSHIRE BLVD, PENTHOUSE",BEVERLY HILLS,CA,90211,"MELMARC PRODUCTS, INC. V. ALANIC INTERNATIONAL CORPORATION",https://www.westlaw.com/Document/I0A5E0975DCFE11EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D157%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=157&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",20SMCV01066,CA LOS ANGELES SUPER. CT.,2020-08-10
79,ROMERO MOTORS CORPORATION,https://businesssearch.sos.ca.gov/,1307 KETTERING LOOP,ONTARIO,CA,91761,MEZA V. HYUNDAI,https://www.westlaw.com/Document/I7AD9F091DD2611EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D158%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=158&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",CIVDS2015672,CA SAN BERNARDINO SUPER. CT,2020-07-29
80,"ANAHEIM HILLS JAGUAR LAND ROVER, INC.",https://businesssearch.sos.ca.gov/,77 ST JOHN ST,PASADENA,CA,91105,MIRIAM H. BERTKE V. JAGUAR LAND ROVER NORTH AMERICA LLC,https://www.westlaw.com/Document/I5FD8FCBFDD1C11EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D163%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=163&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154449-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
81,JAGUAR LAND ROVER NORTH AMERICA LLC,,,,,,MIRIAM H. BERTKE V. JAGUAR LAND ROVER NORTH AMERICA LLC,https://www.westlaw.com/Document/I5FD8FCBFDD1C11EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D163%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=163&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154449-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
82,"NEW VISION STAFFING, INC.",https://businesssearch.sos.ca.gov/,"1501 E. ORANGETHROPE AVENUE, SUITE 120",FULLERTON,CA,92831,"MOONSTONE PEO, INC. V. NEW VISION STAFFING, INC.",https://www.westlaw.com/Document/I5E838026DD1C11EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D166%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=166&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154463-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
83,ALL TESTATE AND INTESTATE HEIRS OF ELIZABET,,,,,,NEWREZ LLC V. COLE,https://www.westlaw.com/Document/I70BF92C7DD2611EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D171%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=171&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",CIVDS2015691,CA SAN BERNARDINO SUPER. CT,2020-07-28
84,"V & J GROUP, LLC",,,,,,"NICK RICHARDS V. J & C YANG, LLC",https://www.westlaw.com/Document/I5F245483DD1C11EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D174%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=174&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154292-CL-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
85,"J & C YANG, LLC",,,,,,"NICK RICHARDS V. J & C YANG, LLC",https://www.westlaw.com/Document/I5F245483DD1C11EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D174%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=174&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154292-CL-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
86,DAVE & BUSTER'S INC.,,,,,,"PROFESSIONAL PLUMBING AND DRAIN CLEANING, INC. V. DAVE & BUSTER'S INC.",https://www.westlaw.com/Document/I607786AADD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D181%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=181&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154198-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-07
87,"SIMPLER POSTAGE, INC.",https://businesssearch.sos.ca.gov/,"2889 ASHTON BOULEVARD, SUITE 324",LEHI,UT,84043,"REMUNERATI, INC. V. SIMPLER POSTAGE, INC. D/B/A EASYPOST ET AL",https://www.westlaw.com/Document/I7F0AF36BDCA511EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D183%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=183&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",CGC-20-585924,CA SAN FRANCISCO SUPER. CT.,2020-08-12
88,GRAPEVINE ADVISORS LLC COMPANY,,,,,,"ROMSPEN MORTGAGE LIMITED PARTNERSHIP, AN ONTARIO, CANADA LIMITED PARTNERSHIP V. GRAPEVINE ADVISORS, LLC, A CALIFORNIA LIMITED LIABILITY COMPANY, ET AL.",https://www.westlaw.com/Document/I1B28779ADCFB11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D191%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=191&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",20PSCV00527,CA LOS ANGELES SUPER. CT.,2020-08-12
89,NEW CHOICE INSTALLERS & MOVERS ,,,,,,"SECURITY NATIONAL INSURANCE COMPANY V. SADADT GONZALES, ET AL.",https://www.westlaw.com/Document/I11770694DD0111EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D203%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=203&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",20STCV30436,CA LOS ANGELES SUPER. CT.,2020-08-11
90,Jaime Partners Of California Inc,,,,,,True Power Electric v. Theatre Box Of San Diego LLC,https://www.westlaw.com/Document/I1336C50EDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D232%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=232&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",37-2020-00028287-CL-BC-CTL,CA San Diego Super.Ct.,2020-08-12
91,Theatre Box Of San Diego LLC,,,,,,True Power Electric v. Theatre Box Of San Diego LLC,https://www.westlaw.com/Document/I1336C50EDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D232%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=232&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",37-2020-00028287-CL-BC-CTL,CA San Diego Super.Ct.,2020-08-12
92,"EAST SHORE AUTO, INC.",,,,,,"UNITED AUTO CREDIT CORPORATION V. EAST SHORE AUTO, INC.",https://www.westlaw.com/Document/I607786D2DD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D235%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=235&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154357-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
93,"Energport, Inc",,,,,,"V5 Systems, Inc, Delaware Corporation v. Far",https://www.westlaw.com/Document/I2474CF4BDD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D236%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=236&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",RG20070252,CA Alameda Super. Ct.,2020-08-05
94,Gotion Inc,,,,,,"V5 Systems, Inc, Delaware Corporation v. Far",https://www.westlaw.com/Document/I2474CF4BDD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D236%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=236&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",RG20070252,CA Alameda Super. Ct.,2020-08-05
95,General Motors LLC,,,,,,Vasquez v. Delillo Chevrolet Co,https://www.westlaw.com/Document/IC20AB831DD2211EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D238%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=238&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",37-2020-00028138-CU-BC-CTL,CA San Diego Super.Ct.,2020-08-11
96,"THE BRUERY, LLC",,,,,,"WATSON INDUSTRIAL PROPERTIES, LLC V. THE BRUERY, LLC",https://www.westlaw.com/Document/I5FD8FCAADD1C11EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D241%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=241&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",30-2020-01154441-CU-BC-CJC,CA ORANGE SUPER. CT.,2020-08-10
97,Mazda Motor Of America Inc,,,,,,Wheeler v. Mazda Motor Of America Inc,https://www.westlaw.com/Document/I1336C5AADD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D245%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=245&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"Contracts, Breach of Warranty",37-2020-00028259-CU-BC-NC,CA San Diego Super.Ct.,2020-08-11
98,"CLAIM JUMPER ACQUISITION COMPANY, LLC",,,,,,WILLOWS CENTER CONCORD V. CLAIM JUMPER,https://www.westlaw.com/Document/I63368FFEDD2511EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D247%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=247&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",CIVMSC20-01573,CA CONTRA COSTA SUPER. CT.,2020-08-12
99,UNITED LC CAPITAL LLC COMPANY,,,,,,"Y.M.I. JEANSWEAR, INC., A CALIFORNIA CORPORATION V. UNITED LC CAPITAL LLC, A CALIFORNIA LIMITED LIABILITY COMPANY",https://www.westlaw.com/Document/I0A5E3093DCFE11EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c0e00000173e78091172c3ac156%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D254%26alertGuid%3Di0ad606da00000172c6624f284bf67555&listSource=Alert&list=DocketAlertNext&rank=254&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606da00000172c6624f284bf67555,"CONTRACTS, BREACH OF WARRANTY",20STCV30368,CA LOS ANGELES SUPER. CT.,2020-08-11
100,"Silveira Buick Gmc, Inc.",https://businesssearch.sos.ca.gov/,985 HEALDSBURG AVE,HEALDSBURG,CA,95448,"A Shade Darker, Inc. v. General Motors, LLC",https://www.westlaw.com/Document/I247482F6DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D53%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=53&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",SCV-266864,CA Sonoma Super. Ct.,2020-08-11
101,"Kvpt Foods, Inc.",,,,,,"Fw Ca-Mariposa Gardens Shopping Center, LLC, v. Varatharajaperumal Manavalan Et Al",https://www.westlaw.com/Document/I13369F00DD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D97%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=97&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",20CV369180,CA Santa Clara Super. CT.,2020-08-07
102,Mr Bbq Inc,,,,,,Kapitus LLC v. Mr Bbq Inc,https://www.westlaw.com/Document/I1336C4FCDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D196%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=196&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",37-2020-00028290-CU-BC-NC,CA San Diego Super.Ct.,2020-08-12
103,Stegela Partners International Incorporated,https://businesssearch.sos.ca.gov/,895 PARK BLVD #544,SAN DIEGO,CA,92101,Leung v. Stegela Partners International Incorporated,https://www.westlaw.com/Document/I1336C53EDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D197%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=197&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",37-2020-00028277-CU-BC-CTL,CA San Diego Super.Ct.,2020-08-12
104,Theatre Box Of San Diego LLC,,,,,,True Power Electric v. Theatre Box Of San Diego LLC,https://www.westlaw.com/Document/I1336C50EDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D230%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=230&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",37-2020-00028287-CL-BC-CTL,CA San Diego Super.Ct.,2020-08-12
105,General Motors LLC,,,,,,Vasquez v. Delillo Chevrolet Co,https://www.westlaw.com/Document/IC20AB831DD2211EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D233%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=233&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Contracts, Breach of Warranty",37-2020-00028138-CU-BC-CTL,CA San Diego Super.Ct.,2020-08-11
106,THE STATE OF CALIFORNIA,,,,,,ARROWHEAD V. MEDRANO,https://www.westlaw.com/Document/I39E70B5FDD2611EA8C24C7BE4F705CAD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D246%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=246&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"CONTRACTS, BREACH OF WARRANTY",CIVDS2015693,CA SAN BERNARDINO SUPER. CT,2020-07-28
107,"MOSS BROS., INC",,,,,,"COSSEY V. FCA US LLC, ET AL",https://www.westlaw.com/Document/IEACCA5BADD2511EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D262%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=262&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"CONTRACTS, BREACH OF WARRANTY",CIVDS2015779,CA SAN BERNARDINO SUPER. CT,2020-07-29
